"Hon Shougi: Naitou Kudan Shougi Hiden"," ",08.10.85,"Seta"
"Honmei (?)"," ",1989,"Nichibutsu"
"Hono no Toukyuji: Dodge Danpei"," ","03/28/1992","Sunsoft"
"Hono no Toukyuji: Dodge Danpei 2"," ","03/26/1993","Sunsoft"
"Hook"," ","03/27/1992","Epic/Sony Records"
"Hoshi no Kirby","HVC-KI","03/23/1993","Nintendo"
"Hoshi wo Miruhito","GAM-HM-02","10/27/1987","Hot-B / Game Arts"
"Hostages","KSC-HZ",12.01.89,"Kemco"
"Hototogisu: The Final Simulation","IF-10, TIX-Z1","08/19/1988","Irem"
"Hotterman no Chiteitanken"," ",12.06.86,"Use"
"Hudson Hawk"," ","12/27/1991","Epic/Sony Records"
"Hyakkiyakou"," ","02/23/1989","Use"
"Hyaku no Sekai no Monogatari","ASK-71",08.09.91,"ASK"
"Hydlide 3: Yami karano Houmonsha"," ","02/17/1989","Namco"
"Hydlide Special","TFS-HS","03/18/1986","Toemiland / Toshiba EMI"
"Hyokkori Hyoutan Jima: Nazo no Kaizokusen"," ","04/25/1992","Yutaka"
"Hyper Olympic","RC800","06/21/1985","Konami"
"Hyper Sports"," ","09/27/1985","Konami"
"I Love Softball","CDS-S6","12/19/1989","C-Dream"
"Ice Climber","HVC-IC","01/30/1985","Nintendo"
"Ide Yousuke Meijin no Jissen Mahjong","CAP-IM","09/24/1987","Capcom"
"Ide Yousuke Meijin no Jissen Mahjong II","CAP-2Q","02/22/1991","Capcom"
"Idol Hakkenden"," ","09/14/1989","Towa Chiki"
"Igo Kyuroban Taikyoku","BPS-IG",08.11.86,"Bullet-Proof Software"
"Igo Meikan"," ",01.10.90,"Hect"
"Igo-Shinan","HCT-ID","07/14/1989","Hect"
"Igo-Shinan '91","HCT-9A",07.05.91,"Hect"
"Igo-Shinan '92","HCT-53",03.10.92,"Hect"
"Igo-Shinan '93"," ","11/27/1992","Hect"
"Igo-Shinan '94","HCT-IR","12/17/1993","Hect"
"Ikari","KAC-IK","11/26/1986","SNK Electronics"
"Ikari II: Dogosoken","KAC-DS","04/16/1988","K. Amusement"
"Ikari Three","KAC-3D","03/16/1990","SNK Electronics"
"Ike lke! Nekketsu Hockey-bu","TJC-I3",02.07.92,"Technos Japan"
"Ikinari Musician","TKS-G1",03.05.87,"Tokyo Shoseki"
"Ikki"," ","11/28/1985","Sunsoft"
"Image Fight"," ","03/16/1990","Irem"
"Indra no Hikari"," ","10/20/1987","Kemco"
"Insector X","TFC-IS","09/21/1990","Taito"
"Ishin no Arashi"," ","09/15/1990","Koei"
"Itadaki Street: Watashi no Omise ni Yottete"," ","03/21/1991","ASCII / Login Soft"
"Izaki Shugorou no Keiba Hisshougaku"," ","03/30/1990","Imagineer"
"J-League Fighting Soccer: The King of Ace Strikers","IGS-JS","06/19/1993","IGS"
"J-League Super Top Players"," ","04/22/1994","Bandai"
"J-League Winning Goal"," ","05/27/1994","Electronic Arts"
"Jackie Chan","HFC-V5","01/25/1991","Hudson Soft"
"Jajamaru Gekimaden: Maboroshi no Kinmajou","JF-27","05/29/1990","Jaleco"
"Jajamaru Ninpouchou","JF-22","03/28/1989","Jaleco"
"Jajamaru no Daibouken"," ","08/22/1986","Jaleco"
"Jangou"," ","08/30/1990","Victor Musical"
"Jarinko Chie: Bakudanmusume no Shiawasesagashi"," ","07/15/1988","Konami"
"Jekyll Hakase no Oumagakoku"," ",04.08.88,"Toho"
"Jesus: Kyoufu no Bio-Monster","KIN-GP","03/17/1989","King Records"
"Jetsons: Cogswell's Caper, The","TFC-JS","04/23/1993","Taito"
"Jigoku Gokurakumaru","PAC-9Z","12/21/1990","Pack-In-Video"
"Jiku (Toki) no Tabibito"," ","12/26/1986","Kemco"
"Jikuyuden Debias"," ","11/27/1987","Namco"
"JJ","SQF-JJ",12.07.87,"Square Soft"
"Jong Bou","KAC-JB","07/18/1987","K. Amusement"
"Joust","HAL-JU","10/30/1987","Atari / HAL Laboratories"
"Joy Mecha Fight","HVC-JM","05/21/1993","Nintendo"
"Ju Ju Densetsu","DTF-5J","07/19/1991","Taito"
"Jumbo"," ","07/18/1987","K. Amusement"
"Jumpin' Kid: Jack to Mamenoki Monogatari","ASM-J9","12/19/1990","Asmik"
"Juouki"," ","07/20/1990","Asmik"
"Just Breed","EFC-I5","12/15/1992","Enix"
"Juvei Quest"," ",01.04.91,"Namco"
"Kabushiki Doujou Jissenhen"," ",05.02.89,"Hect"
"Kaettekita! Gunjin Shougi Nanya Sore!?"," ","05/26/1989","Sofel"
"Kage","NAT-JL",08.10.90,"Natsume"
"Kagerou Densetsu"," ",05.11.90,"Pixel"
"Kaguya Hime Densetsu","VFR-K1-06","12/16/1988","Victor Musical"
"Kai no Bouken: The Quest of Ki"," ","07/22/1988","Namco"
"Kaijuu Monogatari"," ","11/18/1988","Namco / Birthday"
"Kaiketsu Yanchamaru","IF-07",10.02.87,"Irem"
"Kaiketsu Yanchamaru 2: Karakuri Land"," ","08/30/1991","Irem"
"Kaiketsu Yanchamaru 3: Taiketsu! Zouringen"," ","03/30/1993","Irem"
"Kakefu-kun no Jump Tengoku: Speed Jigoku","VIC-KX","07/22/1988","Vic Tokai"
"Kame no Ongaeshi: Urashima Densetsu"," ","08/26/1988","Hudson Soft"
"Kamen no Ninja: Akakage"," ","05/20/1988","Toei Animation / Shouei System"
"Kamen no Ninja: Hanamaru","CAP-JE","03/16/1990","Capcom"
"Kamen Rider Club: Gekitotsu Shocker Land"," ",02.03.88,"Bandai / Ishimori Pro"
"Kamen Rider SD: Guranshokkaa no Yabou"," ","01/22/1993","Angel / Toei Animation"
"Kanshakudama Nage Kantarou no Toukaidou Gojuusan Tsugi"," ",07.03.86,"Sunsoft"
"Karakuri Kengouden Musashi Road: Karakurijin Hashiru","SHI-98",10.05.91,"Yutaka / Mind"
"Karaoke Studio"," ","07/30/1987","Bandai"
"Karaoke Studio: Top Hits 20, Vol. 1"," ","10/28/1987","Bandai"
"Karaoke Studio: Top Hits 20, Vol. 2"," ","02/18/1988","Bandai"
"Karateka","SFC-KR",12.05.85,"Soft Pro International / Broderbund"
"Karnov"," ","12/18/1987","Namco / Data East"
"Katsuba Densetsu"," ","04/20/1990","Nichibutsu"
"Katte ni Shirokuma: Mori wo Sukue no Maki"," ","12/15/1989","CBS/Sony"
"Kawa no Nushi Tsuri","PAC-7K",08.10.90,"Pack-In-Video"
"Keiba Simulation Honmei","NBF-KH, 08","04/28/1989","Nichibutsu"
"Keisan Game: Sansu 4nen"," ","10/30/1986","Tokyo Shoseki"
"Keisan Game: Sansu 5-6nen"," ","10/30/1986","Tokyo Shoseki"
"Keisan Game: Sansu Ichinen"," ","04/25/1986","Tokyo Shoseki"
"Keisan Game: Sansu Ninen","TKS-S2","04/25/1986","Tokyo Shoseki"
"Keisan Game: Sansu Sannen"," ","04/25/1986","Tokyo Shoseki"
"Kekkyoku Nankyoku Daibouken","RC804","04/22/1985","Konami"
"Kerokerokeroppi no Daibouken"," ","03/29/1991","Sanrio / Character Soft"
"Kerokerokeroppi no Daibouken 2: Donuts Ike ha Oosawagi!"," ","02/19/1993","Sanrio / Character Soft"
"Keroppi to Keroriinu no Splash Bomb!"," ",12.01.93,"Sanrio / Character Soft"
"Kerunaguru"," ","07/21/1989","Namco"
"King Kong 2: Ikari no Megaton Punch","RC816","12/18/1986","Konami"
"King of Kings"," ",12.09.88,"Namco"
"King's Knight"," ","09/18/1986","Square Soft / Workss"
"Kinnikuman: Muscle Tag Match"," ",11.08.85,"Bandai / Toei Animation"
"Kiteretsu Daihyakka","EPO-KT","02/23/1990","Epoch"
"Klax","HFC-V6","12/14/1990","Hudson Soft / Atari"
"Knight Rider","PAC-NR","09/30/1988","Pack-In-Video"
"Kochi"," ","12/23/1989","Natsume"
"Konamic Sports in Seoul","KDS-F2","09/16/1989","Konami"
"Koushien","KAC-KQ",10.06.89,"K. Amusement"
"Kujaku Ou"," ","09/21/1988","Pony Canyon"
"Kujaku Ou II","PNF-QW","08/21/1990","Pony Canyon"
"Kung Fu","HVC-KF","06/21/1985","Nintendo / Irem"
"Kunio kun no Nekketsu Soccer League"," ","04/23/1993","Technos Japan"
"Kunio-kun no Jidaigeki Dayo Zeninshugou: Downtown Special"," ","07/26/1991","Technos Japan"
"Kurogane Hiroshi no Yosou Daisuki! Kachiuma Densetsu","NBF-R7","04/20/1990","Nichibutsu"
"Kyatto Ninden Teyandei","TCF-Y8","07/19/1991","Tecmo"
"Kyonshiizu 2"," ","09/25/1987","Taito"
"Kyorochan Land","HR-4C",12.11.92,"Hiro / Triffix"
"Kyotaro Nishimura Mistery: Blue Train Satsukinjiken","IF-11","01/20/1989","Irem"
"Kyotaro Nishimura Mystery: Super Express Satsukinjiken","IF-17",03.02.90,"Irem"
"Kyouryuu Sentai Juu Ranger","ANG-JF",11.06.92,"Angel / Toei Animation"
"Kyuukyoku Harikiri Koushien"," ","03/19/1992","Taito"
"Kyuukyoku Harikiri Stadium"," ","06/28/1988","Taito"
"Kyuukyoku Harikiri Stadium '88",18,"12/16/1988","Taito"
"Kyuukyoku Harikiri Stadium III","TFC-KH",03.01.91,"Taito"
"Kyuukyoku Harikiri Stadium: Heisei Gannen Han"," ","07/21/1989","Taito"
"Kyuukyoku Tiger","CBS-QT",08.04.89,"CBS/Sony / Taito"
"L'Empereur"," ","05/23/1991","Koei"
"La Salle Ishii no Child's Quest"," ","06/23/1989","Namco"
"Labyrinth","GTS-LA",01.07.87,"Tokuma Soft"
"Lagrange Point"," ","04/26/1991","Konami"
"Last Armageddon"," ",11.10.90,"Yutaka / Braingrey-Mind"
"Law of the West"," ",03.06.87,"Pony Canyon / Accolade"
"Layla","dBF-LY","12/20/1986","dB-Soft"
"Legend of Guardic","IF-08",02.05.88,"Irem"
"Legend of Kage, The","TFC-KD, 07","04/18/1986","Taito"
"Lickle: Seirei Densetsu","DTF-LK","06/26/1992","Taito"
"Little Magic"," ","09/14/1990","Data East"
"Little Mermaid: Ningyo Hime, The","CAP-3U","07/19/1991","Capcom"
"Lode Runner","HFC-LR","07/31/1984","Hudson Soft / Broderbund"
"Lord of King, The","JF-25","12/21/1989","Jaleco"
"Lost Word of Jenny","TFC-JN","03/25/1987","Takara"
"Lot Lot","GTS-LL","12/21/1985","Tokuma Shoten / Irem"
"Lunar Ball","PNF-LB",12.05.85,"Pony Canyon / AII"
"Lupin the 3rd: Pandora no Isan"," ",11.06.87,"Namco"
"M-Kara no Chousenjou (?)"," ",1989,"Towa Chiki"
"Mach Rider","HVC-MR","11/21/1985","Nintendo"
"Mad City","KDS-MU",08.12.88,"Konami"
"Madar no Tsubasa"," ","12/18/1986","Sunsoft"
"Madara","RC846","03/30/1990","Konami"
"Magic Candle, The","SAC-1Q",03.06.92,"Sammy"
"Magic Darts","KKS-4R","04/26/1991","Seta"
"Magic John","JF-30","09/28/1990","Jaleco"
"Magical Doropie","VIC-VP","12/14/1990","Vic Tokai"
"Magical Taruruuto-kun 2: Mahou Daibouken"," ","06/19/1992","Bandai / Toei Animation"
"Magical Taruruuto-kun: Fantastic World!!",19,"03/21/1991","Bandai / Toei Animation"
"Magmax","NBF-MM, 01","03/19/1986","Nichibutsu"
"Magnum Kikiippatsu: Empire City 1931"," ","12/25/1987","Toshiba EMI / ISI"
"Mah-Jong","HVC-MJ","08/27/1983","Nintendo"
"Maharaja"," ","09/29/1989","Sunsoft"
"Mahjong Club: Nagatacho"," ","04/25/1991","Hect"
"Mahjong Taikai","KOE-IQ","10/31/1989","Koei"
"Mahjong Taisen","NBF-BJ","05/20/1992","Nichibutsu"
"Mahou no Princess: Minky Momo - Remember Dream"," ","07/29/1992","Yutaka / Ashipro"
"Maison Ikkoku"," ","07/21/1988","Bothtec"
"Majabencha Mahjong Senki","GTS-VZ","10/19/1990","Tokuma Soft"
"Majin Eiyuuden Wataru Gaiden"," ","03/23/1990","Hudson Soft"
"Major League","IF-13","10/27/1989","Irem"
"Majou Densetsu II: Daimashikyou Galious"," ",08.11.87,"Konami"
"Makaimura"," ","06/13/1986","Capcom"
"Makaito nanatsu no Shima no Daibouken"," ","04/14/1987","Capcom"
"Maniac Mansion"," ","09/13/1988","Jaleco"
"Mappy","NMP-4500, 04","11/14/1984","Namco"
"Mappy Kids"," ","12/22/1989","Namco"
"Mappy-Land"," ","11/26/1986","Namco"
"Mario Bros.","HVC-MA",09.09.83,"Nintendo"
"Mario Open Golf","HVC-UG","09/20/1991","Nintendo"
"Marusa no Onna","CAP-FM","09/19/1989","Capcom"
"Mashou","IF-05","12/15/1986","Irem"
"Masuzoe Youichi: Icchou Made Famicom","CDS-I4","04/17/1992","Coconuts"
"Matendouji","BTC-7M","08/24/1990","Quest"
"Matsumoto Tooru no Kabushiki Hisshougaku"," ","02/18/1988","Imagineer"
"Matsumoto Tooru no Kabushiki Hisshougaku II","IMA-K2","03/31/1989","Imagineer"
"Max Warrior: Wakusei Kaigenrei","VAP-ZN","02/15/1991","Vap"
"Meijiishin","USE-NC","09/29/1989","Use"
"Meikyu Kumikyoku: Miron no Daibouken"," ","11/13/1986","Hudson Soft"
"Meikyu no Tatsujin Daimeiro"," ","11/30/1990","Epoch"
"Meikyuu Shima","IF-18","06/29/1990","Irem"
"Meimon! Dai San Yakyu Bu"," ",08.08.89,"Bandai"
"Meimon! Takonishi Ouendan: Kouha 6 Nin Shuu"," ","12/25/1989","Asmik"
"Meitantei Holmes: Kiri no London Satsujin Jiken"," ","05/13/1988","Towa Chiki"
"Meitantei Holmes: M Kara no Chousenjou"," ",05.01.89,"Towa Chiki"
"Metal Flame PsyBuster","DCE-QM","12/14/1990","Jaleco / Sculptured Software"
"Metal Gear","KDS-ME","12/22/1987","Konami"
"Metal Max","DFC-26","05/24/1991","Data East / Crea-Tech"
"Metal Slader Glory"," ","08/30/1991","HAL Laboratories / *Yoshimiru"
"Metal Storm","IF-21, TIX-4M","04/24/1992","Irem"
"Metro-Cross"," ","12/16/1986","Namco"
"Mezase Pachi Pro: Pachio-kun","CDS-PA","12/18/1987","Coconuts / C-Dream"
"Mezase Top Pro: Green ni Kakeru Yume","JF-41",03.05.93,"Jaleco"
"Mickey Mouse III: Yume Fuusen"," ","09/25/1992","Kemco"
"Mickey Mouse: Fushigi no Kuni no Daibouken","HFC-MI",03.06.87,"Hudson Soft"
"Might and Magic","GAT-MP","07/27/1990","American Sammy"
"Mighty Atom","RC827","02/26/1988","Konami"
"Mighty Bomb Jack","TCF-MB","04/24/1986","Tecmo"
"Mighty Final Fight","CAP-SD",06.11.93,"Capcom"
"Mike Tyson's Punch-Out!!","HVC-PT","11/21/1987","Nintendo"
"Millipede"," ",10.01.87,"HAL Laboratories / Atari"
"Mindseeker"," ","04/18/1989","Namco"
"Minelvaton Saga","TFC-MS","10/23/1987","Taito"
"Mini-Putt","WAV-Q6","02/15/1991","A wave"
"Minna no Taabou no Nakayoshi Daisakusen"," ","11/22/1991","Character Soft / ASCII"
"Miracle Ropit's Adventure in 2100","KIN-GM",08.07.87,"King Records / Animation 20"
"Mirai Senshi Lios","PAC-R6",12.01.89,"Pack-In-Video"
"Mirai Shinwa Jarvas",11,"06/30/1987","Taito"
"Mississippi Satsujin Jiken","JF-11","10/31/1986","Jaleco / Activision"
"Mito Koumon: Sekai Manyuuki"," ",08.11.88,"Sunsoft"
"Mito Koumon: Tenka no Goikenban"," ",08.11.87,"Sunsoft"
"Mitsume ga Tooru"," ","07/17/1992","Tomy"
"Mizushima Shinji no Dai Koushien","STE-VC","10/26/1990","Capcom"
"Moai-kun","KDS-M9",03.09.90,"Konami"
"Mobile Suit Z Gundam: Hot Scramble"," ","08/28/1986","Bandai / Soutsu Agency"
"Moe Pro! Saikyou Hen","JF-33","11/22/1991","Jaleco"
"Moe Pro! Yakyu '90: Kandou Hen"," ","07/27/1990","Jaleco"
"Moero Twin Bee: Cinnamon Hakase wo Sukue!"," ","03/26/1993","Konami"
"Moero!! Junior Basketball: Two on Two"," ","11/22/1988","Jaleco"
"Moero!! Juudou Warriors","JF-28","06/29/1990","Jaleco"
"Moero!! Pro Soccer"," ","12/23/1988","Jaleco"
"Moero!! Pro Tennis"," ","04/15/1988","Jaleco"
"Moero!! Pro Yakyu","JF-13","06/26/1987","Jaleco"
"Moero!! Pro Yakyu '88: Ketteiban"," ",08.10.88,"Jaleco"
"Moeru! Oniisan","THF-M7",08.08.89,"Toho / NTV"
"Momotaro Densetsu","HFC-MO","10/26/1987","Hudson Soft"
"Momotaro Densetsu Gaiden"," ","12/17/1993","Hudson Soft / Summer Project"
"Momotaro Dentetsu","HFC-M2",12.02.88,"Hudson Soft"
"Money Game II: Kabutochou no Kiseki, The"," ","12/20/1989","Sofel"
"Money Game, The","SFL-MY",08.10.88,"Sofel"
"Monopoly","TOM-6B",11.01.91,"Tomy"
"Monster Maker: 7-tsu no Hihou"," ","12/20/1991","Sofel"
"Moon Crystal"," ","08/28/1992","Hect"
"Morita Kazou no Shougi","KKS-MC, 02","04/14/1987","Seta"
"Mother","HVC-MX","07/27/1989","Nintendo"
"Motocross Champion","KDS-CX","01/27/1989","Konami"
"Mottomo Abunai Deka","TDF-93",02.06.90,"Toei Animation / NTV"
"Moulin Rouge Senki: Melville no Honoo","GAT-M6",08.11.89,"Gakkenco"
"Mr. Jumbo Ozaki Hole in One Professional"," ",02.01.88,"HAL Laboratories"
"Murder Club"," ","06/30/1989","Seta"
"Musashi no Bouken"," ","12/22/1990","Sigma"
"Musashi no Ken: Tadaima Shugyou Chuu",8,08.08.86,"Taito"
"My Life My Love: Boku no Yume Watashi no Negai"," ",08.03.91,"Banpresto"
"Nagagutsu wo Haita Neko: Sekai Issyu 80nichi Daibouken","TDF-NN","11/21/1986","Toei Animation"
"Nakayoshi to Issho"," ",12.10.93,"Yutaka"
"Nakiri Yagyou (?)"," ",1989,"Use"
"Namco Classic"," ","05/27/1988","Namco"
"Namco Classic II"," ","03/13/1992","Namco"
"Namco Mahjong III: Mahjong Tengoku"," ",03.08.91,"Namco"
"Nangoku Shirei!! Spy vs. Spy","KSC-SI","03/27/1987","Kemco"
"Nantatte!! Baseball"," ","10/26/1990","Sunsoft"
"Nantatte!! Baseball: Kogame Cassette '91 Kaimakuban"," ","05/31/1991","Sunsoft"
"Nantatte!! Baseball: Kogame Cassette OB All-Star Hen"," ","02/28/1991","Sunsoft"
"Napoleon Senki","IF-09","03/18/1988","Irem"
"Navy Blue","IMX-NB","02/14/1992","I'Max / I'Max and Use"
"Nekketsu Kakutou Densetsu","TJC-NA","12/23/1992","Technos Japan"
"Nekketsu Kouha Kunio-kun","TJC-KN","04/17/1987","Technos Japan"
"Nekketsu koukou Dodge Ball bu Soccer hen","TJC-N3","05/18/1990","Technos Japan"
"Nekketsu koukou Dodge Ball Club","TJC-ND","07/26/1988","Technos Japan"
"Nekketsu! Street Basket: Ganbare Dunk Heroes","TJC-BR","12/17/1993","Technos Japan"
"New Ghostbusters 2","HAL-QD","12/26/1990","HAL Laboratories"
"Nichibutsu Mahjong III: Mahjong G Men","NBF-JX","07/20/1990","Nichibutsu"
"Nihon Ichi no Meikantoku"," ",08.10.90,"Asmik"
"Niji no Silk Road"," ","02/22/1991","Victor Interactive"
"Ninja Cop Saizou"," ","11/17/1989","Taito"
"Ninja Crusaders","SAC-N4","12/14/1990","Sammy"
"Ninja Hattori-kun: Ninja wa Shugyou de Gozaru","HFC-NH",03.05.86,"Hudson Soft"
"Ninja Jajamaru-kun","JF-06","11/15/1985","Jaleco"
"Ninja Jajamaru: Ginga Daisakusen"," ","03/29/1991","Jaleco"
"Ninja Ryukenden","TCF-NY, 07",12.09.88,"Tecmo"
"Ninja Ryukenden II: Ankoku no Jashinken","TCF-NW, 10",04.06.90,"Tecmo"
"Ninja Ryukenden III: Yomi no Hakobune","TCF-3N","06/21/1991","Tecmo"
"Ninja-kun: Ashura no Shou"," ","05/27/1988","UPL"
"Ninja-kun: Majou no Bouken","JF-03",05.10.85,"Jaleco"
"Ninjarahoi!","HSP-34",08.08.90,"ASCII / Login Soft"
"Nobunaga no Yabou: Bushou Fuunroku"," ","12/21/1991","Koei"
"Nobunaga no Yabou: Sengoku Gunyuden"," ",02.03.90,"Koei"
"Nobunaga no Yabou: Zenkokuban","KOE-NZ","03/18/1988","Koei"
"North & South: Wakuwaku Nanbokusensou","KSC-N5","09/21/1990","Kemco"
"Nuts & Milk","HFC-NM","07/28/1984","Hudson Soft"
"NY Nyankies","ALT-7A",04.05.91,"Atlus"
"Obake no Qtarou: Wan Wan Panic"," ","12/16/1985","Bandai"
"Obocchama-kun",14,04.05.91,"Tecmo"
"Oeka Kids: Anpanman no Hiragana Daisuki"," ","03/26/1991","Bandai"
"Oeka Kids: Anpanman to Oekaki Shiyou!!"," ","10/25/1990","Bandai"
"Oishinbo Kyukyoku no Menu 3bon Syoubu","SHI-OS","07/25/1989","Shinsei"
"Okkotoshi Puzzle Tonjan!?","NMK-JT","09/29/1989","Jaleco / KK N.M.K."
"Olympus no Tatakai: Ai no Densetsu"," ","03/31/1988","Imagineer"
"Onyanko Town"," ","11/15/1985","Pony Canyon"
"Operation Wolf","TFC-OW, 24","03/31/1989","Taito"
"Osomatsukun: Back to the Me no Deppa no Maki"," ",12.08.89,"Shinsei"
"Otaku no Seiza: An Adventure in the Otaku Galaxy"," ","07/31/1991","M&M"
"Othello","KWD-OH","11/13/1986","Kawanda"
"Outlanders","VFR-A1",12.04.87,"Victor Musical"
"Over Horizon","GAM-Z6","04/26/1991","Hot-B"
"Pac-Land","NPL-4500, 10","11/21/1985","Namco"
"Pac-Man","NPM-4500, 02",11.02.84,"Namco"
"Pachi-Slot Adventure 2"," ","09/17/1993","Coconuts"
"Pachi-Slot Adventure 3: Bitaoshi-7 Kenzan!"," ","05/13/1994","Coconuts"
"Pachicom","TFS-PC","11/21/1985","Toemiland / Toshiba EMI/J.P.M."
"Pachinko Daisakusen 1"," ","07/19/1991","Coconuts / C-Dream"
"Pachinko Daisakusen 2"," ",07.10.92,"Coconuts / C-Dream"
"Pachio-kun 2","CDS-P2","01/30/1989","Coconuts / C-Dream"
"Pachio-kun 3: Kaettekita Pachiokun","CDS-P3","10/26/1990","C-Dream"
"Pachio-kun 4","CDS-B4","11/22/1991","Coconuts"
"Pachio-kun 5"," ","06/18/1993","Coconuts / C-Dream"
"Pajama Hero Nemo","CAP-EZ",12.07.90,"Capcom"
"Palamedes","GAM-JI",07.06.90,"Hot-B"
"Palamedes II"," ","05/17/1991","Hot-B"
"Paperboy","ALT-7B","01/30/1991","Altron"
"Parareru World","VRE-R9",08.10.90,"Vaire"
"Parasol Henbee: Otogi no Kuni ha Osawagi!"," ","02/15/1991","Epoch"
"Paris-Dakar Rally Special"," ",02.01.88,"CBS/Sony"
"Parodius da!"," ","11/30/1990","Konami"
"Paw Man","IF-20","12/14/1990","Irem"
"Paw Man: Part 2","IF-25","12/20/1991","Irem"
"Peepar Time","SAN-P6",08.10.90,"Sanritsu"
"Penguin-kun Wars","HSP-03","12/25/1985","ASCII"
"Perfect Bowling"," ","07/25/1989","Tonkin House"
"Photon: The Ultimate Game on Planet Earth","TFC-PH","08/28/1987","Takara"
"Pinball","HVC-PN",02.02.84,"Nintendo"
"Pinball Quest","JF-26","12/15/1989","Jaleco"
"Pizza Pop!","JF-35",01.07.92,"Jaleco"
"Plasma Ball","JF-36","03/27/1992","Jaleco"
"Pocket Zaurus: Juouken no Nazo",7,"02/27/1987","Bandai"
"Pole to Finish"," ","01/31/1989","Data East"
"Pooyan","HFC-PO","09/20/1985","Hudson Soft / Konami"
"Popeye","HVC-PP","07/15/1983","Nintendo"
"Popeye no Eigoasobi","HVC-EN","11/22/1983","Nintendo"
"Portopia Renzoku Satsujin Jiken","EFC-PR","11/29/1985","Enix"
"Power Blazer","TFC-PB, 31","04/20/1990","Taito"
"Power Soccer","GTS-FT","03/30/1990","Tokuma Soft"
"Predator","PAC-PL",03.10.88,"Pack-In-Video"
"President no Sentaku","GAM-83-06",03.02.90,"Hot-B"
"Pro Yakyu Family Stadium"," ",12.10.86,"Namco"
"Pro Yakyu Family Stadium '87"," ","12/22/1987","Namco"
"Pro Yakyu Family Stadium '88: Nendoban"," ","12/20/1988","Namco"
"Pro Yakyu Family Stadium '89: Kaimakuban"," ","07/28/1989","Namco"
"Pro Yakyu? Satsujinjiken!","CAP-PV","12/24/1988","Capcom"
"Punch-Out!! Special","HVC-PT-S",1987,"Nintendo"
"Puyo Puyo"," ","07/23/1993","Tokuma Shoten / Compile"
"Puzslot","SAC-1P","02/28/1992","Sammy"
"Puzznic"," ","07/19/1991","IGS"
"Pyokotan no Daimeiro"," ","03/19/1993","Sunsoft"
"Quarth","KDS-H7","04/13/1990","Konami"
"Quinty"," ","06/27/1989","Namco"
"Quiz Project Q: Cutie Project & Battle 10000"," ",05.09.92,"Hect"
"Racer Mini Yonku: Japan Cup","RC842","08/25/1989","Konami"
"Radia Senki: Reimeihen",17,"11/15/1991","Tecmo"
"Raf World","TEC-RF",08.10.90,"Sunsoft / Tokai Engineering"
"Raid on Bungeling Bay","HFC-RB","02/15/1985","Hudson Soft"
"Rainbow Islands","DTF-RL, 19","07/26/1988","Taito"
"Rambo","PAC-RV",12.04.87,"Pack-In-Video"
"Rampart","KDS-73","11/29/1991","Konami"
"Recca","NAX-RE","07/17/1992","Naxat Soft"
"Red Arremer II","CAP-1L","07/17/1992","Capcom"
"Reigendoushi"," ","09/16/1988","Pony Canyon"
"Ripple Island"," ","01/23/1988","Sunsoft"
"Road Fighter","RC801",07.11.85,"Konami"
"Road Man Cycle Race: Gekisou! Nihon Isshu 4000 Kiro"," ","12/17/1988","Tokyo Shoseki"
"Robocco Wars"," ",08.02.91,"IGS"
"RoboCop"," ","08/25/1989","Data East"
"RoboCop 2","DFC-2C",04.02.91,"Data East"
"Rock Man","CAP-RX","12/17/1987","Capcom"
"Rock Man 2: Dr. Wily no Nazo","CAP-XR","12/24/1988","Capcom"
"Rock Man 3: Dr. Wily no Saigo!?","CAP-XU","09/28/1990","Capcom"
"Rock Man 4","CAP-4V",12.06.91,"Capcom"
"Rock Man 5: Blues no Wana!?","CAP-5V",12.04.92,"Capcom"
"Rock Man 6: Shijou Saidai no Tatakai!!","CAP-6V",11.05.93,"Capcom"
"Rod-Land: Yousei Monogatari","JF-39",12.11.92,"Jaleco"
"Rokudenashi Blues",28,"10/29/1993","Bandai"
"Roller Ball","HAL-RH","12/20/1988","HAL Laboratories"
"Rolling Thunder"," ","03/17/1989","Namco"
"Romancia","TKS-G2","10/30/1987","Tokyo Sheseki"
"Route 16 Turbo"," ",10.04.85,"Sunsoft"
"Royal Blood","KOE-IU","08/29/1991","Koei"
"RPG Jinsei Game: The Game of Life"," ","11/26/1993","Takara"
"Sabaku no Kitsume","KSC-DF","04/28/1988","Kemco"
"Safety Rally"," "," "," "
"Saikoushi Sedi (?)"," ",1988,"Fuji Television"
"Saint Seiya: Ougon Densetsu"," ",08.10.87,"Bandai"
"Saint Seiya: Ougon Densetsu Kanketsuhen"," ","05/30/1988","Toei Animation"
"Saiyuki World","NMK-KW",11.11.88,"Jaleco / KK N.M.K."
"Saiyuki World II: Tenjoukai no Majin","JF-31",12.07.90,"Jaleco"
"Sakigake!! Otokojuku: Shippu Ichigousei"," ",03.03.89,"Toei Animation"
"Salad no Kuni no Tomato Hime"," ","05/27/1988","Hudson Soft"
"Salamander"," ","09/25/1987","Konami"
"Sanada Juyushi","KSC-JY","06/27/1988","Kemco"
"Sangokushi"," ","10/30/1988","Koei"
"Sangokushi II"," ",11.02.90,"Koei"
"Sangokushi II: Haou no Tairiku"," ",06.10.92,"Namco"
"Sangokushi: Nakahara no Hasha"," ","07/29/1988","Namco"
"Sanma no Meitantei"," ",04.02.87,"Namco"
